sku,_attribute_set,_product_websites,_store,_type,_root_category,_category,name,short_description,description,price,size,color,url_key,has_options,required_options,status,tax_class_id,visibility,qty,is_in_stock,manage_stock,_super_products_sku,_super_attribute_code,_super_attribute_option
2011025020445,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアーヘムブラウス/M/BEIGE,（未使用）,（未使用）,12600,M,BEIGE,2011025020445,0,0,1,4,1,1,1,1,,,
2011025030116,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリードレープノースリーブ/FREE/BLACK,（未使用）,（未使用）,9350,FREE,BLACK,2011025030116,0,0,1,4,1,1,1,1,,,
2011025030413,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリードレープノースリーブ/FREE/BEIGE,（未使用）,（未使用）,9350,FREE,BEIGE,2011025030413,0,0,1,4,1,1,1,1,,,
2011025170416,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バイカラーテーラードジレ/FREE/BEIGE,（未使用）,（未使用）,18900,FREE,BEIGE,2011025170416,0,0,1,4,1,1,1,1,,,
2011025170515,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バイカラーテーラードジレ/FREE/GRAY,（未使用）,（未使用）,18900,FREE,GRAY,2011025170515,0,0,1,4,1,1,1,1,,,
2011025400117,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,プリントシフォンフレアースリーブブラウス/FREE/BLACK,（未使用）,（未使用）,13650,FREE,BLACK,2011025400117,0,0,1,4,1,1,1,1,,,
2011025400216,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,プリントシフォンフレアースリーブブラウス/FREE/WHITE,（未使用）,（未使用）,13650,FREE,WHITE,2011025400216,0,0,1,4,1,1,1,1,,,
2011025410116,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,プリントサテンチュニック/FREE/BLACK,（未使用）,（未使用）,14700,FREE,BLACK,2011025410116,0,0,1,4,1,1,1,1,,,
2011025410215,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,プリントサテンチュニック/FREE/WHITE,（未使用）,（未使用）,14700,FREE,WHITE,2011025410215,0,0,1,4,1,1,1,1,,,
2011025430213,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,フラワープリントフレアーノースリーブ/FREE/WHITE,（未使用）,（未使用）,15750,FREE,WHITE,2011025430213,0,0,1,4,1,1,1,1,,,
2011025430817,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,フラワープリントフレアーノースリーブ/FREE/NAVY,（未使用）,（未使用）,15750,FREE,NAVY,2011025430817,0,0,1,4,1,1,1,1,,,
